len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max;isin_border
0.0;8.0;53.7251529;86.8448969;205.0;2368.0;84.0;0.0;2.2;-0.040787192821454;-1.0482308555113695;-0.0183542367696543;Груженный движется вперед;95;7530G;240;1164.5;2.0;2.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route10', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route5'];0.0030555555555555557;6.0;7.1;13.6;8.9;1.0023726170683482;0.397446430213645;1.6507266907110707;-0.02152891808063357;-3.077463316726808;5.9;5.9;14.355;9.9;point_30%;5.9;9.9;1;0;0;0;-;0.0;0;0;0;0;0
16.0;10.0;53.7251438;86.8446574;207.0;2368.0;83.6;15.807002862646936;178.60000000000002;-0.0560823901294993;-1.0166207810747423;-0.0438462322830631;Груженный движется вперед;95;7530G;240;1215.0;58.0;96.5;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route24'];0.20150000000000004;6.8;5.4;10.3;9.5;2.4658568036529895;-1.6738521230349503;1.9701597741937378;0.5406368854644793;-2.451228450968796;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
29.0;11.0;53.7250704;86.8445072;204.5;2368.0;84.0;12.830947214784;219.575;-0.05302335066789025;-0.9987763842153563;-0.05914142959110835;Груженный движется вперед;95;7530G;240;1407.5;63.5;72.75;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19'];0.5064652777777778;7.3;4.3;11.6;12.5;3.383994516617619;-3.3604854593649702;2.255291412174019;1.15448051310121;-2.543660264487567;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
46.0;11.0;53.724984;86.8442928;206.0;2368.0;83.6;17.085718726825128;243.775;-0.0152951973080452;-0.9982665443050882;-0.0479249515652085;Груженный движется вперед;95;7530G;240;1609.0;64.0;66.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];0.7096111111111112;5.6;6.4;10.4;9.2;2.7482332331208412;-4.6910070797252335;2.5079327541223124;1.8207486000589517;-2.207222689878285;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
60.0;13.0;53.7248812;86.8441644;207.0;2368.0;83.2;14.229640656819374;182.075;0.0448659121035994;-0.9890894259202612;-0.0571020699500356;Груженный движется вперед;95;7530G;240;1363.0;54.0;60.5;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];1.0130694444444446;5.9;6.0;14.5;12.6;3.300743420648882;-5.693970485064554;2.7298949495090143;2.5401877815670986;-1.8921534265347435;5.9;5.9;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0;0
81.0;14.0;53.7247056;86.8440656;203.0;2368.0;84.0;20.602731378221534;103.85;-0.113184460079535;-1.0003059039461608;0.0010196798205363;Груженный движется вперед;95;7530G;240;823.0;49.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];1.1284583333333336;8.5;6.1;10.1;9.6;-0.05803513659966656;-6.397929176331752;2.922989147804523;3.3135446928550447;-1.8449959059923233;8.555;5.9;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0;0
97.0;15.0;53.7245592;86.843996;203.5;2368.0;84.6;16.92991068591586;77.45;-0.16365861119608438;-0.9783827878046293;-0.02498215560314055;Груженный движется вперед;95;7530G;240;1150.75;37.0;69.625;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];1.236027777777778;8.1;6.4;16.2;6.7;1.442644900944324;-6.8314366544756435;3.089026498479235;4.1415659691521824;-2.2328987934863633;8.555;5.9;17.325;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0;0
120.0;15.0;53.7243979;86.8437835;200.0;2368.0;85.2;22.766684998312783;288.45000000000005;-0.1815030080554706;-0.9707351891506067;-0.078515346181299;Груженный движется вперед;95;7530G;240;1519.0;79.0;89.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route30', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];1.636652777777778;7.3;4.0;14.9;6.7;4.545714524483136;-7.023046420445046;3.2298181510035473;5.024998245687907;-2.6991424090088945;5.9;5.9;17.325;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0;0
138.0;12.0;53.7243281;86.8435345;200.0;2368.0;85.2;18.148106274458414;317.57500000000005;-0.1774242887733251;-0.99214846538187;-0.0836137452839808;Груженный движется вперед;95;7530G;240;1695.0;78.0;80.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route30', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];1.9012986111111112;6.7;3.4;13.6;6.1;4.742362432687477;-7.001311975188777;3.3471752548478575;5.9645881576916135;3.0256740055506537;5.9;5.9;17.325;9.9;point_60%;5.9;9.9;2;14;0;1;[53.7245375827253, 86.84345435058535];23.909900658894237;0;0;0;0;0
154.0;12.0;53.7243446;86.843295;202.0;2368.0;85.2;15.881390852639605;298.85;-0.1223615784643621;-0.9768532680738248;-0.0734169470786173;Груженный движется вперед;95;7530G;240;1686.0;74.0;76.5;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route30', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];2.233354166666667;6.3;6.0;15.9;5.2;4.264870270366556;-6.794786819655655;3.442908959482563;6.961082340392693;2.4045703801859775;5.9;5.9;17.325;9.9;point_60%;5.9;9.9;2;14;0;1;-;0.0;0;0;0;0;0
168.0;14.0;53.7244251;86.8431451;200.0;2368.0;85.2;13.333682871260693;332.07500000000005;-0.1845620475170796;-0.9564596716630978;-0.0672988681553992;Груженный движется вперед;95;7530G;240;1740.0;79.5;81.5;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];2.6023263888888892;6.4;4.7;15.5;4.7;3.9521697242772724;-6.432024454794493;3.51883041437806;8.015227429020541;1.778051803221386;5.9;5.9;14.355;9.9;point_60%;5.9;9.9;2;14;0;1;-;0.0;0;0;0;0;0
185.0;15.0;53.7245762;86.8430914;199.0;2368.0;85.2;17.188506358161728;342.04999999999995;-0.0968695829509534;-1.0043846232283062;-0.0520036708473539;Груженный движется вперед;95;7530G;240;1757.0;81.0;82.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route29', '/home/pi/adviser/route24', '/home/pi/adviser/route31', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];3.0773958333333336;6.8;4.3;12.2;7.7;2.9502712578406416;-5.941578381554112;3.5767507690047475;9.12777005880455;1.264478896486376;5.9;5.9;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0;0
204.0;17.0;53.7247412;86.8431796;204.0;2368.0;84.4;19.26479709005872;346.3;-0.0836137452839808;-0.9992862241256244;-0.0601611094116447;Груженный движется вперед;95;7530G;240;1711.0;84.0;87.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route21', '/home/pi/adviser/route30', '/home/pi/adviser/route24', '/home/pi/adviser/route29', '/home/pi/adviser/route10', '/home/pi/adviser/route31', '/home/pi/adviser/route5', '/home/pi/adviser/route19'];3.4621736111111114;6.2;4.2;11.4;9.4;3.4333123674995796;-5.352002100883331;3.618481172833021;10.299456864974115;1.10248275589224;5.9;5.9;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0;0
226.0;18.0;53.7249177;86.8433305;207.0;2368.0;84.0;22.019002143858234;361.1;-0.0418068726419904;-0.9758335882532884;-0.0718874273478127;Груженный движется вперед;95;7530G;240;1608.0;98.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route30', '/home/pi/adviser/route10', '/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];3.8633958333333336;6.0;7.7;14.3;8.0;4.209390902103668;-4.691849113731077;3.6458327753333557;11.531034482758866;1.1762722275877626;5.9;8.555;14.355;9.9;point_60%;5.9;9.9;2;0;0;0;-;0.0;0;0;0;0;0
247.0;19.0;53.7250905;86.8434521;206.0;2368.0;83.6;20.83705140614942;435.35;-0.0285510349750178;-0.9595187111247068;-0.0520036708473539;Груженный движется вперед;95;7530G;240;1796.5;98.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route10', '/home/pi/adviser/route21', '/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];4.2261875;6.3;6.1;10.8;9.5;3.1008923842533873;-4.26486235690054;3.638878596672949;12.846743295019431;1.229351257777605;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
270.0;21.0;53.7252828;86.8435676;204.0;2368.0;83.2;22.71861200910714;172.175;-0.0346691138982359;-1.0217191801774244;-0.0642398286937901;Груженный движется вперед;95;7530G;240;1678.0;43.0;44.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route24;['/home/pi/adviser/route24', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route21', '/home/pi/adviser/route19', '/home/pi/adviser/route5'];4.417493055555555;5.4;5.4;10.8;9.5;3.595629515138389;-3.9445872755219273;3.5962321584640193;14.233716475096088;1.3364269023255928;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
294.0;21.0;53.7254974;86.8436542;205.0;2368.0;83.2;24.561045803464392;316.975;-0.0295707147955541;-0.99214846538187;-0.0571020699500356;Груженный движется вперед;95;7530G;240;1693.5;78.0;80.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route24', '/home/pi/adviser/route19', '/home/pi/adviser/route21', '/home/pi/adviser/route31', '/home/pi/adviser/route5'];4.7696875;5.9;5.4;10.1;9.4;3.2925061287642623;-3.5063574080957474;3.668743711893594;15.678160919540561;1.2029458122650225;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
320.0;22.0;53.7257177;86.8437977;205.0;2368.0;82.8;26.282331457721277;424.4;-0.0152951973080452;-1.0135617416131335;-0.0418068726419904;Груженный движется вперед;95;7530G;240;1768.0;98.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route10;['/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route31', '/home/pi/adviser/route29', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route5'];5.241243055555556;5.4;5.6;10.1;9.4;2.361699304165606;-2.8208262515796916;3.7044557045471205;17.185440613027183;1.2600230184576975;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
347.0;21.0;53.7259417;86.8439193;206.0;2368.0;83.2;26.190593024619876;431.525;-0.0418068726419904;-1.0043846232283062;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1783.0;98.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;880.0;41.0;24.0;41.0;872.0;45.0;/home/pi/adviser/route19;['/home/pi/adviser/route19', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route31', '/home/pi/adviser/route24', '/home/pi/adviser/route29', '/home/pi/adviser/route5'];5.840583333333333;5.4;5.4;10.2;8.5;3.7722088400827474;-1.8733904869932656;3.767267584472836;18.71340996168622;1.2787917419945194;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
377.0;20.0;53.7262019;86.8440515;206.0;2368.0;82.8;30.246189528326447;410.35;-0.0438462322830631;-0.9931681452024064;-0.0846334251045171;Груженный движется вперед;95;7530G;240;1827.0;87.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.9548872180451;40.98872180451128;24.0;41.0;872.0;45.0;/home/pi/adviser/route24;['/home/pi/adviser/route21', '/home/pi/adviser/route24', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route10', '/home/pi/adviser/route19', '/home/pi/adviser/route29', '/home/pi/adviser/route5'];6.410513888888889;5.3;4.8;10.2;8.9;4.866010476821656;-1.247523908341684;3.5889771104139183;20.329501915709244;1.2303464332943133;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
400.0;19.0;53.7263933;86.8441661;206.0;2368.0;82.8;22.604301782644434;413.92499999999995;-0.0180993168145202;-1.0048944631385743;-0.0657693484245946;Груженный движется вперед;95;7530G;240;1827.0;88.0;99.75;792.0;26.0;796.0;25.0;864.0;44.0;879.8646616541353;40.96616541353384;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route31', '/home/pi/adviser/route19', '/home/pi/adviser/route30', '/home/pi/adviser/route5', '/home/pi/adviser/route16'];6.985409722222222;5.5;5.9;11.0;9.4;3.7440059009515614;-0.8761629122388513;3.424654110775516;21.966283524904682;1.1947352005444043;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
427.0;20.0;53.7266242;86.8443202;205.0;2368.0;82.4;27.635315729556766;410.125;-0.0132558376669725;-0.9992862241256244;-0.0744366268991536;Груженный движется вперед;95;7530G;240;1828.0;87.0;99.5;792.0;26.0;796.0;25.0;864.0;44.0;879.7744360902255;40.94360902255639;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route21', '/home/pi/adviser/route31', '/home/pi/adviser/route24', '/home/pi/adviser/route10', '/home/pi/adviser/route19', '/home/pi/adviser/route30', '/home/pi/adviser/route5', '/home/pi/adviser/route16'];7.441104166666666;4.6;5.6;11.4;7.8;4.259709806949606;-0.7991629410663149;3.3713009257963993;23.66590038314226;1.0961976731775813;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
452.0;22.0;53.7268187;86.8444891;206.0;2368.0;82.4;24.342439712446165;410.0;0.0168247170388498;-1.00336494340777;-0.061180789232181;Груженный движется вперед;95;7530G;240;1827.0;87.0;99.0;792.0;26.0;796.0;25.0;864.0;44.0;879.7142857142858;40.92857142857143;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route24', '/home/pi/adviser/route19', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route21', '/home/pi/adviser/route5', '/home/pi/adviser/route16'];7.896659722222222;5.5;5.9;10.2;10.7;3.488835664160084;-0.6808210448565376;3.4068174300102303;25.42298850574766;1.1936403390300245;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
479.0;25.0;53.7270511;86.8446447;206.0;2368.0;82.4;27.826890191878366;410.25;-0.0152951973080452;-1.0003059039461608;-0.0438462322830631;Груженный движется вперед;95;7530G;240;1828.0;86.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.6541353383459;40.91353383458647;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route10', '/home/pi/adviser/route31', '/home/pi/adviser/route19', '/home/pi/adviser/route24', '/home/pi/adviser/route21', '/home/pi/adviser/route29', '/home/pi/adviser/route5', '/home/pi/adviser/route16'];8.352493055555556;5.5;5.7;9.8;9.7;2.509536257379938;-0.5694474131664491;3.4285528802663645;27.276628352491;1.2306844567421087;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
509.0;27.0;53.7273059;86.8447971;205.0;2368.0;82.4;30.088230825829395;399.95;-0.014785357397777;-0.9885795860099929;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1830.0;84.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.593984962406;40.8984962406015;24.0;41.0;872.0;45.0;/home/pi/adviser/route31;['/home/pi/adviser/route21', '/home/pi/adviser/route31', '/home/pi/adviser/route19', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route24', '/home/pi/adviser/route29', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route14', '/home/pi/adviser/route15'];8.796881944444445;5.4;6.7;11.2;9.4;3.835220137988438;-0.8361965456006251;3.399158284746855;29.15325670498146;1.2616214957634126;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;1;0;0;0;0
542.0;29.0;53.7275841;86.8449473;205.5;2368.0;82.8;32.51113354153405;397.0625;-0.0433363923727949;-1.0092281023758538;-0.05251351075762205;Груженный движется вперед;95;7530G;240;1831.0;84.0;99.75;792.0;26.0;796.0;25.0;864.0;44.0;879.5037593984962;40.87593984962406;24.0;41.0;872.0;45.0;/home/pi/adviser/route31;['/home/pi/adviser/route21', '/home/pi/adviser/route31', '/home/pi/adviser/route19', '/home/pi/adviser/route30', '/home/pi/adviser/route29', '/home/pi/adviser/route24', '/home/pi/adviser/route10', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route14', '/home/pi/adviser/route15'];9.238062500000002;6.2;5.4;10.5;9.6;2.9758673199187116;-1.010207361997518;3.4392992897086088;31.044444444445098;1.1792084367233453;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;1;0;0;0;0
583.0;28.0;53.7279231;86.8451839;205.0;2368.0;82.8;40.828519932375244;400.45;-0.0367084735393086;-1.0013255837666972;-0.0693382277964719;Груженный движется вперед;95;7530G;240;1830.0;85.0;99.5;792.0;26.0;796.0;25.0;864.0;44.0;879.4135338345865;40.85338345864662;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route10', '/home/pi/adviser/route24', '/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route21', '/home/pi/adviser/route19', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route14', '/home/pi/adviser/route15'];9.794243055555556;5.9;5.5;10.4;9.4;3.9585544913226256;-1.014589553772769;3.6458048171930812;32.940229885058166;1.1775779450602255;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;1;0;0;0;0
614.0;26.0;53.7281801;86.8453641;207.0;2368.0;82.8;30.973483824415517;408.2;-0.0326297542571632;-1.0084633425104517;-0.0540430304884266;Груженный движется вперед;95;7530G;240;1828.0;86.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.3533834586466;40.838345864661655;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route10', '/home/pi/adviser/route21', '/home/pi/adviser/route24', '/home/pi/adviser/route31', '/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route5', '/home/pi/adviser/route14', '/home/pi/adviser/route16', '/home/pi/adviser/route15'];10.247798611111111;5.5;5.2;10.0;9.4;3.0659156798769502;-0.9956756148597039;3.9214233769210884;34.829118773947094;1.137689243149996;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;1;0;0;0;0
642.0;23.0;53.7284145;86.8455473;207.0;2368.0;82.8;28.748176987942266;406.15;0.0061180789232181;-0.986030386458652;-0.0825940654634444;Груженный движется вперед;95;7530G;240;1828.0;86.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.2932330827068;40.82330827067669;24.0;41.0;872.0;45.0;/home/pi/adviser/route29;['/home/pi/adviser/route29', '/home/pi/adviser/route10', '/home/pi/adviser/route30', '/home/pi/adviser/route21', '/home/pi/adviser/route24', '/home/pi/adviser/route31', '/home/pi/adviser/route19', '/home/pi/adviser/route5', '/home/pi/adviser/route14', '/home/pi/adviser/route15', '/home/pi/adviser/route16'];10.699076388888889;5.0;5.0;8.8;10.8;4.788066758383155;-0.9909093993104352;4.141111604698415;36.764750957855185;1.2107294152766281;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
668.0;21.0;53.7286257;86.8456817;206.0;2368.0;82.4;25.122080280581752;409.1;-0.0061180789232181;-0.9992862241256244;-0.0662791883348628;Груженный движется вперед;95;7530G;240;1827.0;87.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.2330827067669;40.808270676691734;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route21', '/home/pi/adviser/route29', '/home/pi/adviser/route10', '/home/pi/adviser/route24', '/home/pi/adviser/route31', '/home/pi/adviser/route19', '/home/pi/adviser/route5', '/home/pi/adviser/route14', '/home/pi/adviser/route15', '/home/pi/adviser/route16'];11.153631944444445;4.8;5.3;9.7;9.6;3.7946013576224593;-0.967532842328497;4.351120593369199;38.6881226053648;1.2275406724570153;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
691.0;20.0;53.7288197;86.8457989;205.0;2368.0;82.4;22.93424655651491;408.175;-0.0224329560517997;-1.011522381972061;-0.0672988681553992;Груженный движется вперед;95;7530G;240;1828.0;86.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.172932330827;40.79323308270676;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route21', '/home/pi/adviser/route30', '/home/pi/adviser/route10', '/home/pi/adviser/route29', '/home/pi/adviser/route19', '/home/pi/adviser/route31', '/home/pi/adviser/route24', '/home/pi/adviser/route5', '/home/pi/adviser/route14', '/home/pi/adviser/route15', '/home/pi/adviser/route16'];11.947305555555555;5.4;5.0;10.0;8.7;3.8054748228008064;-1.0807635711527586;4.651829060599123;40.65134099616944;1.123169243237438;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
741.0;22.0;53.7292273;86.8461297;207.0;2368.0;82.0;50.33368394325837;413.3;-0.0005098399102681;-1.0196798205363515;-0.0683185479759355;Груженный движется вперед;95;7530G;240;1827.0;88.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.1127819548872;40.778195488721806;24.0;41.0;872.0;45.0;/home/pi/adviser/route30;['/home/pi/adviser/route30', '/home/pi/adviser/route19', '/home/pi/adviser/route29', '/home/pi/adviser/route31', '/home/pi/adviser/route21', '/home/pi/adviser/route10', '/home/pi/adviser/route24', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route15', '/home/pi/adviser/route14'];12.406527777777777;5.2;5.5;9.5;9.7;3.8330880213500387;-1.0621821210440012;4.935871335180159;42.63984674329592;1.2165416759132466;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
765.0;20.0;53.7294322;86.8462578;206.0;2368.0;82.0;24.319893900127624;407.725;-0.0356887937187723;-0.9972468644845518;-0.0744366268991536;Груженный движется вперед;95;7530G;240;1828.0;86.0;100.0;792.0;26.0;796.0;25.0;864.0;44.0;879.0526315789474;40.76315789473684;24.0;41.0;872.0;45.0;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route21', '/home/pi/adviser/route30', '/home/pi/adviser/route29', '/home/pi/adviser/route19', '/home/pi/adviser/route24', '/home/pi/adviser/route10', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route14', '/home/pi/adviser/route15'];12.859555555555556;5.2;5.2;10.7;8.4;4.266041991020371;-1.1379257170926123;5.233490605849716;44.61839080459864;1.2411830708462626;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;0
